frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
19,0,0.601,0.93,1,-0.39,0.53,-0.65,1.33,0.61,0.86,-0.45,0.55,1.77,0.73,1.11,0.15,-0.13,0.46,1.83,2.37,0.40,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
20,0,0.634,0.93,1,-0.39,1.11,-0.84,1.50,0.59,0.64,-0.45,0.52,1.56,1.00,0.61,0.30,-0.04,0.20,2.31,2.52,0.85,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
21,0,0.667,0.93,1,-0.37,1.18,-0.67,0.46,0.65,0.87,-0.11,0.55,1.72,0.80,0.67,0.18,-0.40,0.13,2.16,1.89,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
22,0,0.701,0.93,1,-0.61,1.28,-0.58,0.96,0.77,1.39,0.09,0.92,1.61,0.84,0.51,0.20,-0.21,0.28,1.94,1.63,0.72,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
23,0,0.734,0.93,1,-0.67,1.20,-0.75,1.00,0.80,1.10,-0.01,0.96,1.82,0.62,0.89,-0.03,0.07,0.28,1.73,1.57,0.85,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
24,0,0.767,0.93,1,-0.75,1.23,-0.91,0.95,0.68,0.88,0.13,0.87,1.65,0.54,0.76,-0.04,-0.02,0.47,1.85,2.05,0.79,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
25,0,0.801,0.93,1,-0.77,1.47,-0.71,0.18,0.65,1.18,0.22,0.87,1.56,0.69,0.98,-0.09,0.02,0.59,1.53,1.69,0.86,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
26,0,0.834,0.93,1,-0.92,1.23,-0.81,-0.24,0.81,1.25,0.42,0.98,1.62,0.53,0.88,-0.26,-0.04,0.49,1.37,1.17,0.92,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
27,0,0.868,0.93,1,-0.94,0.80,-0.83,-0.02,0.70,1.07,0.30,0.80,1.53,0.49,0.85,-0.31,-0.16,0.61,1.41,0.95,0.97,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28,0,0.901,0.93,1,-0.77,0.86,-0.97,-0.13,0.74,0.43,0.43,1.10,1.61,0.99,0.67,-0.38,-0.00,0.67,1.45,0.83,1.17,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,0,0.934,0.93,1,-0.95,0.54,-0.84,-0.49,0.77,0.47,0.35,1.02,1.50,0.76,0.53,-0.28,-0.06,0.95,0.61,0.54,0.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,0,0.968,0.98,1,-0.97,0.67,-0.67,-0.25,0.68,0.61,0.33,1.03,1.49,0.75,0.87,-0.08,0.17,1.21,0.19,0.00,1.24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,1.001,0.98,1,-0.81,0.49,-0.94,-0.11,0.73,0.41,0.26,0.86,1.57,0.57,1.02,-0.10,-0.30,1.05,0.35,-0.15,1.01,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,1.034,0.98,1,-0.84,0.18,-0.68,-0.33,0.82,0.87,0.15,0.74,1.67,0.38,1.16,0.01,-0.53,1.02,0.12,-0.72,1.09,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,0,1.068,0.98,1,-0.65,0.10,-0.71,-0.73,0.98,1.16,0.29,0.71,1.55,0.41,0.80,0.06,-0.11,0.96,-0.12,-0.65,1.00,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,0,1.101,0.98,1,-0.75,-0.14,-0.55,-0.82,1.28,1.13,0.46,0.58,1.61,0.06,0.29,0.06,-0.84,1.02,-0.11,-0.68,1.02,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,0,1.134,0.93,1,-0.18,0.48,-0.23,-0.08,1.61,1.17,0.37,0.74,1.65,0.19,-0.02,0.29,-1.02,1.18,0.11,-0.54,0.74,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,0,1.168,0.93,1,-0.75,-0.55,-0.30,-0.24,1.26,0.93,0.48,0.35,1.73,0.48,0.57,0.23,-0.40,1.16,1.16,-0.42,0.90,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,0,1.201,0.93,1,-0.48,-0.26,0.25,-0.16,1.27,0.58,0.36,-0.07,1.52,0.53,0.03,0.32,-0.76,1.18,1.28,-0.06,1.19,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,0,1.235,0.93,1,-0.59,-0.64,-0.02,-0.12,1.14,0.85,0.45,-0.03,1.32,0.52,-0.33,0.78,-1.05,0.94,0.88,-0.27,1.12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,0,1.268,0.93,1,-1.07,-0.83,-0.77,-0.18,1.08,0.64,0.79,-0.19,1.03,-0.20,-0.58,0.38,-1.10,0.87,1.19,0.54,0.73,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,0,1.301,0.98,1,-0.95,-0.72,-0.69,-0.33,1.17,0.29,0.89,0.01,1.18,0.19,-0.76,0.13,-0.67,0.79,1.32,0.59,0.37,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,0,1.335,0.98,1,-0.60,-0.53,-0.46,-0.62,1.25,0.25,1.23,0.49,1.54,0.25,-0.89,0.19,-0.77,0.82,1.04,0.71,0.21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,0,1.368,0.88,1,-0.58,-0.19,-0.43,-1.15,1.21,0.39,1.11,0.51,1.49,-0.02,-1.11,0.06,-0.35,0.78,0.82,0.38,0.41,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,0,1.401,0.98,1,-0.60,-0.12,-0.89,-0.37,0.98,0.58,0.91,0.49,1.41,0.61,-0.81,0.02,0.41,0.67,0.68,0.08,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,0,1.435,0.98,1,-0.52,0.26,-0.73,-0.11,1.12,1.72,0.76,0.72,1.33,0.76,-0.85,0.48,1.19,0.27,1.09,0.15,0.18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
45,0,1.468,0.93,1,-0.27,0.07,-0.85,0.09,0.82,1.79,0.64,0.86,1.28,0.30,-0.72,0.43,0.91,-0.33,1.70,0.19,0.55,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
46,0,1.502,0.93,1,-0.05,-0.25,-0.93,0.07,0.90,2.11,0.40,0.87,1.35,0.04,-0.76,0.69,1.15,-0.61,1.92,0.37,0.70,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
47,0,1.535,0.88,1,-0.02,0.12,-1.07,-0.35,0.73,2.16,0.75,0.73,1.37,-0.21,-0.96,0.44,1.32,-0.73,2.31,0.28,1.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
48,0,1.568,0.93,1,-0.01,0.54,-1.13,-0.24,0.93,2.07,1.08,0.77,1.44,-0.49,-0.87,0.52,1.30,-0.60,1.96,-0.05,1.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
49,0,1.602,0.93,1,-0.39,-0.67,-1.20,-0.78,0.93,1.60,1.00,0.69,1.69,-0.46,-1.03,0.34,1.81,-0.70,1.78,-0.17,1.46,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
50,0,1.635,0.88,1,-0.39,-0.71,-1.46,-0.94,1.09,1.50,1.23,0.68,1.70,-0.22,-1.33,0.31,1.67,-0.62,1.74,0.22,2.08,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
51,0,1.668,0.88,1,-0.34,-0.40,-1.12,-0.87,1.07,1.73,1.35,0.36,1.52,-0.67,-1.06,-0.04,1.96,-0.69,1.82,0.70,1.17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
52,0,1.702,0.88,1,-0.20,-0.75,-1.34,-0.93,1.18,1.85,1.83,0.61,1.48,-0.69,-0.86,0.01,1.46,-1.01,1.97,0.59,0.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
53,0,1.735,0.93,1,-0.09,-0.19,-1.10,-0.65,1.07,1.42,1.93,0.35,1.10,-0.68,-1.07,0.20,1.27,-0.52,0.97,0.03,1.14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
54,0,1.768,0.98,1,0.06,-0.68,-1.32,-0.59,0.80,1.27,1.95,-0.07,0.88,-0.47,-0.90,0.99,1.74,-0.16,0.29,0.11,0.91,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
55,0,1.802,0.98,1,0.21,-0.44,-1.28,-0.37,0.80,1.23,1.61,-0.38,1.11,-0.07,-0.55,1.46,1.55,0.07,-0.27,0.24,0.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
56,0,1.835,0.98,1,0.21,-0.41,-1.03,-0.13,0.63,0.45,1.85,-0.13,0.92,0.16,-0.88,1.19,1.09,-0.09,-0.00,0.22,1.19,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
57,0,1.869,0.98,1,0.31,0.10,-1.22,-0.16,0.31,0.66,1.32,0.23,0.76,0.10,-0.78,1.83,0.78,-0.00,0.20,0.72,1.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
58,0,1.902,0.98,1,0.28,0.28,-1.28,-0.23,0.25,0.46,1.01,0.25,0.98,0.26,-0.77,1.91,1.11,0.00,0.35,0.63,1.00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
59,0,1.935,0.98,1,-0.02,0.32,-1.29,-0.19,0.19,0.39,0.98,0.61,0.86,0.26,-0.58,2.29,1.27,0.13,0.34,0.52,0.54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60,0,1.969,0.98,1,-0.30,0.60,-1.25,0.31,0.35,0.81,0.63,0.43,1.12,-0.39,0.05,1.92,1.33,0.12,0.42,-0.03,0.21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
