frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
20,0,0.634,0.98,1,4.79,1.42,0.47,1.27,0.03,2.18,-1.15,0.75,0.31,-0.95,-0.42,0.47,-0.31,0.54,-0.15,-0.05,1.53,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,0,0.667,0.98,1,4.39,1.44,0.73,0.64,0.07,2.36,-0.91,0.77,0.28,-1.00,-0.66,0.33,-0.48,0.60,0.03,-0.11,1.32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0.701,0.98,1,4.05,1.21,0.80,0.79,0.23,2.21,-0.90,0.80,0.29,-1.07,-0.61,0.17,-0.80,0.53,0.17,0.26,1.24,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,0,0.734,0.98,1,3.51,0.67,0.83,0.75,-0.03,2.37,-0.84,0.77,0.36,-1.20,-0.72,0.57,-1.06,0.84,-0.35,0.10,1.32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,0,0.767,0.98,1,3.39,0.65,1.31,0.91,-0.12,2.69,-0.49,0.76,0.13,-1.52,-0.74,0.52,-1.14,0.16,0.56,0.75,1.28,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
25,0,0.801,0.98,1,2.96,0.55,1.07,0.76,-0.07,2.74,-0.38,0.84,0.11,-1.37,-0.51,0.37,-0.96,0.13,0.69,0.86,1.06,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
26,0,0.834,0.98,1,2.72,0.12,1.18,0.63,0.14,2.74,-0.11,0.86,0.25,-1.15,-0.47,0.09,-0.79,0.28,0.77,0.64,0.69,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
27,0,0.868,0.98,1,1.98,0.22,1.25,1.00,0.40,2.69,0.01,1.05,0.39,-0.74,-0.81,0.22,-0.35,0.73,0.82,0.57,0.24,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,0,0.901,0.98,1,1.77,0.27,1.15,0.90,0.52,2.67,-0.06,1.10,0.42,-0.30,-0.70,0.17,0.17,0.72,0.86,0.44,0.31,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,0,0.934,0.98,1,0.91,-0.02,1.21,0.60,0.72,2.60,0.34,1.38,0.64,0.17,-0.50,0.20,0.51,0.53,0.61,-0.14,0.30,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0.968,0.98,1,0.63,-0.10,1.21,0.54,0.72,2.54,0.38,1.46,0.75,0.38,-0.76,0.07,0.29,0.61,0.55,-0.32,0.02,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,1.001,0.98,1,0.62,0.10,1.24,0.39,0.78,2.60,0.40,1.36,0.92,0.75,-0.46,0.14,0.40,0.79,0.47,-0.67,-0.05,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,1.034,0.98,1,0.68,-0.22,1.14,0.05,0.78,2.65,0.29,1.09,0.78,0.73,-0.44,0.46,0.77,0.96,0.29,-0.92,-0.19,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,1.068,0.98,1,0.67,0.12,1.19,0.41,0.78,2.53,0.44,0.98,0.73,0.92,-0.45,0.37,0.98,0.82,0.31,-0.55,0.01,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,1.101,0.98,1,0.89,0.21,1.25,0.19,0.56,2.67,0.43,0.83,0.46,0.73,0.04,0.78,0.73,1.15,-0.28,-0.42,0.07,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,1.134,0.98,1,0.81,-0.01,1.10,0.43,0.36,2.79,0.24,0.70,0.35,0.73,0.15,1.14,0.58,1.38,-0.68,-0.45,0.31,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,1.168,0.98,1,0.67,-0.01,1.03,0.72,0.37,2.32,-0.01,0.46,0.38,0.54,0.10,1.08,0.74,1.48,-0.95,-0.79,0.01,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,1.201,0.98,1,0.46,0.17,1.14,0.49,0.28,2.51,0.03,0.76,0.35,0.33,0.22,0.91,0.50,1.30,-0.55,-0.36,0.32,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,1.235,0.98,1,0.44,-0.10,1.23,0.39,0.28,2.69,0.11,0.65,0.30,0.39,-0.07,0.97,0.40,1.26,-0.34,-0.10,0.52,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,1.268,0.98,1,0.34,-0.20,1.42,0.36,0.24,2.55,0.20,0.74,0.25,0.30,0.03,0.84,0.21,1.01,-0.12,0.32,0.69,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,1.301,0.98,1,0.37,-0.36,1.38,0.05,0.33,2.71,0.24,0.83,0.25,0.15,0.00,0.72,0.32,0.87,-0.20,0.02,0.26,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,1.335,0.98,1,0.04,-0.23,1.55,0.36,0.54,2.80,0.65,0.88,0.44,0.43,0.21,0.92,0.23,0.99,-0.20,0.11,0.23,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,1.368,0.98,1,-0.35,-0.26,1.50,0.10,0.67,2.92,0.78,1.10,0.46,0.57,0.25,0.92,0.25,1.15,-0.24,-0.02,0.14,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,1.401,0.98,1,-0.28,-0.22,1.57,-0.01,0.74,3.06,0.76,1.22,0.45,0.63,0.08,0.88,0.01,1.09,-0.18,-0.05,-0.13,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,1.435,0.93,1,-0.25,-0.41,1.69,-0.05,0.77,2.88,0.86,1.35,0.57,0.33,-0.11,0.72,0.13,0.85,0.44,0.07,0.33,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,1.468,0.98,1,-0.44,-0.11,1.66,-0.09,0.76,2.87,1.07,1.60,0.63,0.28,-0.13
